"","tsne_1","tsne_2","CellType"
"1",-8.40518809436329,-13.7642743031612,"CD8+ Cytotoxic T"
"2",-9.11031270646444,16.788461288473,"CD8+/CD45RA+ Naive Cytotoxic"
"3",5.55258606045025,-16.8202511543818,"CD4+/CD25 T Reg"
"4",27.940580264875,-4.80946670260415,"CD19+ B"
"5",11.4984594137051,17.4468920266172,"CD4+/CD25 T Reg"
"6",10.2037267765508,11.1104727098638,"CD4+/CD25 T Reg"
"7",-4.4183220293073,-15.2977410562639,"CD4+/CD45RO+ Memory"
"8",-12.0520643694003,-0.815959922944169,"CD8+ Cytotoxic T"
"9",-7.28019700822127,7.64196244161498,"CD8+/CD45RA+ Naive Cytotoxic"
"10",-21.2016272119773,9.14845112679463,"CD8+ Cytotoxic T"
"11",14.7860174222742,-11.1108533281583,"CD4+/CD25 T Reg"
"12",7.08797799608428,7.27177873175499,"CD8+/CD45RA+ Naive Cytotoxic"
"13",2.15420901850369,-23.4174652997818,"CD4+/CD25 T Reg"
"14",-0.249245159793764,-13.9654675208758,"CD8+/CD45RA+ Naive Cytotoxic"
"15",-10.2264426977635,-6.36487645628662,"CD8+/CD45RA+ Naive Cytotoxic"
"16",-10.1226429208268,-18.7821751836356,"CD8+ Cytotoxic T"
"17",5.63371682173381,-14.90929708542,"CD4+/CD45RO+ Memory"
"18",-8.06819682485619,-12.0592286025672,"CD8+ Cytotoxic T"
"19",8.73488640122044,14.5079821213565,"CD8+/CD45RA+ Naive Cytotoxic"
"20",23.3409122301986,11.8717576964299,"CD8+/CD45RA+ Naive Cytotoxic"
"21",-32.8347915327441,-1.92544386981608,"Dendritic"
"22",-18.5166692942481,8.34380359851668,"CD8+ Cytotoxic T"
"23",3.91229028514384,-16.0337363056494,"CD8+/CD45RA+ Naive Cytotoxic"
"24",18.6069799004493,17.1346016414997,"CD8+/CD45RA+ Naive Cytotoxic"
"25",-5.6763205936736,4.10665510228151,"CD8+/CD45RA+ Naive Cytotoxic"
"26",-22.9199444008822,-8.01751303344106,"CD56+ NK"
"27",8.90959071434265,-14.5200345332679,"CD4+/CD25 T Reg"
"28",2.35411503642888,-25.9967778899445,"CD4+/CD25 T Reg"
"29",4.73868162510584,19.6214979810932,"CD8+/CD45RA+ Naive Cytotoxic"
"30",11.2601010781638,16.4479010778998,"CD8+/CD45RA+ Naive Cytotoxic"
"31",-16.7175835114964,-5.00571910919131,"CD8+ Cytotoxic T"
"32",-9.75880880510004,16.2943471817779,"CD8+/CD45RA+ Naive Cytotoxic"
"33",11.8473186964351,-19.6881904208264,"CD4+/CD25 T Reg"
"34",9.0670106902305,20.9677558476204,"CD8+/CD45RA+ Naive Cytotoxic"
"35",-15.0688585266541,-11.395915813009,"CD8+ Cytotoxic T"
"36",19.5154147382763,11.3709572347356,"CD8+/CD45RA+ Naive Cytotoxic"
"37",21.8000731996967,-17.7554179952411,"CD4+/CD25 T Reg"
"38",4.14378763995751,-4.91472647847702,"CD4+/CD45RO+ Memory"
"39",2.84223691176121,-23.1665388171144,"CD4+/CD25 T Reg"
"40",-18.6111004260048,2.39923146324597,"CD8+ Cytotoxic T"
"41",-25.2960659866124,-14.8405629810099,"CD56+ NK"
"42",-1.60157296250965,-4.31356344339351,"CD8+/CD45RA+ Naive Cytotoxic"
"43",-26.9164446305371,2.66659928349713,"CD8+ Cytotoxic T"
"44",-31.9410761255822,-1.20580982052615,"Dendritic"
"45",9.26698950942771,-9.7580923978041,"CD4+/CD25 T Reg"
"46",-3.38828001189698,21.6639568738647,"CD34+"
"47",-23.684060765523,12.2441969222872,"CD8+ Cytotoxic T"
"48",-7.50097173965924,-17.2427681642776,"CD4+/CD45RO+ Memory"
"49",-23.6152585352365,-17.0382954851993,"CD56+ NK"
"50",8.30847804884795,-17.3875490547662,"CD4+/CD45RO+ Memory"
"51",-23.4900482775574,-13.0217927113585,"CD56+ NK"
"52",9.23579534728066,-14.4936760620402,"CD4+/CD45RO+ Memory"
"53",-7.95910194253094,-27.5460077399211,"Dendritic"
"54",-22.1571338007741,-18.1534419682504,"CD56+ NK"
"55",23.7809808987834,-6.85425866572718,"CD19+ B"
"56",5.94152527872086,-17.7630921950943,"CD4+/CD25 T Reg"
"57",8.92834405820174,14.1002168512787,"CD4+/CD45RA+/CD25- Naive T"
"58",17.3730573385771,-1.70070386852952,"CD4+/CD25 T Reg"
"59",-25.6391658293411,-18.6193888700626,"CD56+ NK"
"60",15.4942250184368,6.86028507685443,"CD8+/CD45RA+ Naive Cytotoxic"
"61",-11.7468002635256,-19.5307126542864,"CD8+ Cytotoxic T"
"62",-1.32601689819951,7.64360904837143,"CD8+/CD45RA+ Naive Cytotoxic"
